sensor,raw_value,reference_mm,sample_id
sharp_left,,,1
sharp_left,309,100.0,1
sharp_left,244,150.0,2
sharp_left,180,200.0,3
sharp_left,165,250.0,4
sharp_left,118,300.0,5
sharp_left,628,50.0,6
sharp_right,638,50.0,1
sharp_right,337,100.0,2
sharp_right,224,150.0,3
sharp_right,159,200.0,4
sharp_right,136,250.0,5
sharp_right,105,300.0,6
sharp_right,617,50.0,1
sharp_right,323,100.0,2
sharp_right,238,150.0,3
sharp_right,163,200.0,4
sharp_right,121,250.0,5
sharp_right,109,300.0,6
sharp_left,669,50.0,1
sharp_left,375,100.0,2
sharp_left,244,150.0,3
sharp_left,188,200.0,4
sharp_left,153,250.0,5
sharp_left,117,300.0,6
